key,value,Hindi,Gujarati Text,Marathi Text,Telugu Text,
loginScreenWelcomeMessage,Hello there! Welcome to\n# SwiftChat,# SwiftChat\n\n में आपका स्वागत है।,SwiftChat \n# માં તમારું સ્વાગત છે,नमस्कार! SwiftChat\n# मध्ये आपले स्वागत आहे,నమస్కారం! \n# SwiftChatకి స్వాగతం,
loginScreenHelpText,Please enter your phone number.\nWe’ll send you an OTP so we know you’re real.,कृपया अपना फोन नंबर दर्ज करें। \nहम आपको एक OTP भेजेंगे ताकि हम जान सकें कि यह आप हैं।,કૃપા કરીને તમારો ફોન નંબર દાખલ કરો. \nઅમે તમને એક OTP મોકલીશું જેથી અમે જાણી શકીએ કે તમે વાસ્તવિકતામાં છો.,कृपया तुमचा फोन नंबर प्रविष्ट करा. \nआम्ही तुम्हाला एक OTP पाठवू त्यावरून आम्हाला तुमची ओळख समजेल.,"దయచేసి మీ ఫోన్ నంబర్‌ను నమోదు చేయండి.\nమేము మీకు OTPని పంపుతాము, తద్వారా ఇది మీరే అని నమ్ముతాము.",
loginScreenSendOtp,Send OTP,OTP भेजें,OTP મોકલો,OTP पाठवा.,OTPని పంపండి,
loginError423,Try requesting OTP after sometime..,कुछ समय बाद OTP दोबारा भेजने का प्रयास करें..,થોડા સમય પછી OTP માટે વિનંતી કરવાનો પ્રયત્ન કરો..,कृपया थोड्यावेळाने पुन्हा OTP पाठविण्याचा प्रयत्न करा..,కొంత సమయం తర్వాత OTPని అభ్యర్థించడానికి ప్రయత్నించండి..,
loginErrorDefault,Looks like something went wrong.\nPlease try again..,लगता है कुछ समस्या है।\nकृपया फिर से प्रयास करें..,એવું લાગે છે કે કંઈક ખોટું થયું છે. \n કૃપા કરીને ફરીથી પ્રયત્ન કરો..,काही त्रुटी असल्याचे समजते आहे. \n कृपया थोड्या वेळाने पुन्हा प्रयत्न करा..,ఏదో తప్పు జరిగినట్లు కనిపిస్తోంది.\nదయచేసి మళ్లీ ప్రయత్నించండి..,
otpScreenWelcomeMessage,Enter your\n# Verification code,अपना\n# Verification code\n भरें,તમારો \n# Verification code દાખલ કરો,तुमचा \n# Verification code प्रविष्ट करा,మీ\n# ధృవీకరణ కోడ్‌ని నమోదు చేయండి,
loginScreenSignUpMessage,Sign up to access \n# {{botName}},{{botName}}\n# एक्सेस करने के लिए sign up करें,{{botName}} \n# એક્સેસ કરવા માટે સાઇન અપ કરો,\n# {{botName}} वापरण्यासाठी Sign up करा,\n# {{botName}}ని యాక్సెస్ చేయడానికి సైన్ అప్ చేయండి,
otpScreenHelpText,Please enter the 4-digit code sent to,निम्नलिखित नंबर पर भेजा गया 4-अंक का कोड कृपया दर्ज करें,કૃપા કરીને પર મોકલેલો 4 અંકનો કોડ દાખલ કરો,खाली दिलेल्या क्रमांकावर पाठविलेला 4- आकडी कोड प्रविष्ट करा,దయచేసి మీకు వచ్చిన 4-అంకెల కోడ్‌ను నమోదు చేయండి,
otpScreenConfirmText,Confirm,कन्फर्म करें,પુષ્ટિ કરો,कन्फर्म करा.,నిర్ధారించండి,
otpScreenResendOtpMessage,Did not receive code?,कोड नहीं मिला?,કોડ મળ્યો નથી?,कोड मिळालेला नाही?,కోడ్ అందలేదా?,
otpScreenResendOtp,Resend OTP,OTP दोबारा भेजें,OTP ફરી મોકલો,OTP पुन्हा पाठवा,OTP ను మళ్ళీ పంపండి,
brandingText,SwiftChat by ConveGenius,ConveGenius द्वारा SwiftChat,ConveGenius દ્વારા SwiftChat,ConveGenius प्रस्तुत SwiftChat,ConveGenius ద్వారా SwiftChat,
otpScreenCorrectCode,Hurray! OTP Verification Successful,Hurray! OTP verification सफल हुआ।,Hurray! OTP verification સફળ થયું,Hurray! OTP चे verification यशस्वी झालेले आहे.,Hurray! OTP Verification విజయవంతమైంది,
otpError401,Oops! Wrong code. Please try again.,Oops! गलत कोड। कृपया दोबारा प्रयास करें।,Oops! ખોટો કોડ. કૃપા કરીને ફરી પ્રયાસ કરો.,Oops! हा चुकीचा कोड आहे. कृपया पुन्हा प्रयत्न करा.,Oops! తప్పు కోడ్. దయచేసి మళ్లీ ప్రయత్నించండి.,
otpError412,OTP not sent. Please login again,OTP नहीं भेजा गया। कृपया फिर login करें।,OTP મોકલાયેલ નથી. કૃપા કરીને ફરીથી લૉગિન કરો,OTP पाठविलेला नाही. कृपया पुन्हा login करा,OTP పంపబడలేదు. దయచేసి మళ్లీ లాగిన్ చేయండి,
otpError423,OTP has expired. Please resend OTP,OTP रद्द हो गया है। कृपया OTP दोबारा भेजें,OTPની મુદત પૂરી થઈ ગઈ છે. કૃપા કરીને OTP ફરી મોકલો,पाठविलेला OTP कालबाह्य झालेला आहे. कृपया OTP पुन्हा पाठवा,OTP గడువు ముగిసింది. దయచేసి OTPని మళ్లీ పంపండి,
otpError429,Incorrect OTP attempts exceeded.,गलत OTP के प्रयास समाप्त हुए।,ખોટા OTP પ્રયાસો પૂરા થઈ ગયા છે.,अंदाजे OTP प्रविष्ट करण्याची संधी संपलेली आहे.,సరికాని OTP ప్రయత్నాలు మించిపోయాయి.,
otpErrorDefault,Error sending OTP. Please try again after sometime,OTP भेजने में समस्या हो रही है। कृपया कुछ समय बाद दोबारा प्रयास करें।,OTP મોકલવામાં સમસ્યા આવી રહી છે. કૃપા કરીને થોડા સમય પછી ફરીથી પ્રયત્ન કરો.,OTP पाठवताना त्रुटी आलेल्या आहेत. कृपया काही वेळाने पुन्हा प्रयत्न करा,OTPని పంపడంలో లోపం ఏర్పడింది. దయచేసి కొంత సమయం తర్వాత మళ్లీ ప్రయత్నించండి,
termsAndConditions,"By continuing, I agree to SwiftChat’s [Terms of Service](https://swiftchat.ai/securityandprivacy/swiftchat-user-terms-of-service/) and [User Privacy Policy](https://swiftchat.ai/securityandprivacy/swiftchat-user-privacy-policy/)","जारी रखकर, मैं SwiftChat की [Terms of Service](https://swiftchat.ai/securityandprivacy/swiftchat-user-terms-of-service/) और [User Privacy Policy](https://swiftchat.ai/securityandprivacy/swiftchat-user-privacy-policy/) से सहमत हूँ",આ ચાલુ રાખીને હું SwiftChat ની [Terms of Service](https://swiftchat.ai/securityandprivacy/swiftchat-user-terms-of-service/) અને [User Privacy Policy](https://swiftchat.ai/securityandprivacy/swiftchat-user-privacy-policy/) સાથે સંમત થાઉં છું,"सुरू ठेवून, मी SwiftChat च्या [Terms of Service](https://swiftchat.ai/securityandprivacy/swiftchat-user-terms-of-service/) आणि [User Privacy Policy](https://swiftchat.ai/securityandprivacy/swiftchat-user-privacy-policy/) शी सहमत आहे
","కొనసాగించడం ద్వారా, నేను SwiftChat యొక్క [Terms of Service](https://swiftchat.ai/securityandprivacy/swiftchat-user-terms-of-service/) మరియు [User Privacy Policy](https://swiftchat.ai/securityandprivacy/swiftchat-user-privacy-policy/) ని అంగీకరిస్తున్నాను",
headerTitle,SWAMulyankan,स्वमूल्यांकन,સ્વમૂલ્યાંકન,स्वमूल्यांकन,SWAMulyankan,
emptyCartPlaceholderText,Your cart is empty!,आपका कार्ट खाली है!,તારું કાર્ટ ખાલી છે!,तुमचे कार्ट रिकामे आहे.,మీ కార్ట్ ఖాళీగా ఉన్నది!,
emptyCartPlaceholderInfoText,Looks like you haven’t added any items to your cart yet,आपने अभी तक अपने कार्ट में कोई आइटम नहीं ऐड किया है,એવું લાગે છે કે તમે હજી સુધી તમારા કાર્ટમાં કોઈ વસ્તુઓ ઉમેરી નથી,तुम्ही तुमच्या कार्टमध्ये अद्याप कोणतीही सामग्री टाकलेली नाही असे दिसते.,మీరు మీ కార్ట్‌కి ఇంకా ఏ ఐటెమ్‌లను జోడించనట్లుగా కనిపిస్తోంది,
loginScreenSubscribeCountMesssage,{{subscriberCount}} users subscribed,{{subscriberCount}} users subscribed,{{subscriberCount}} વપરાશકર્તા સબ્સ્ક્રાઇબ થયેલ છે,{{subscriberCount}} वापरकर्त्यांनी सदस्यत्व घेतले आहे,{{subscriberCount}} వినియోగదారులు సభ్యత్వం పొందారు,
feedbackErrorMessage,Feedback could not be submitted,फ़ीडबैक सबमिट नहीं किया जा सका।,પ્રતિસાદ સબમિટ કરી શકાતો નથી,पुनरावलोकन सबमिट केले जाऊ शकत नाही,అభిప్రాయాన్ని సబ్మిట్ చేయడం సాధ్యపడలేదు,
headerIsOnline,ONLINE,ऑनलाइन,ઓનલાઈન,ऑनलाईन,ఆన్‌లైన్‌,
footerPlaceHolder,Tap to send a message,मैसेज भेजने के लिए टैप करें,મેસેજ મોકલવા માટે ટેપ કરો,मेसेज पाठवण्यासाठी बटण दाबा.,మెసేజ్ ని పంపడానికి ట్యాప్ చేయండి,
actionBannerText,Add SwiftChat to your homepage. It won’t take up space on your device.,अपने होमपेज पर SwiftChat जोड़ें। यह आपके डिवाइस पर जगह नहीं लेगा।,તમારા હોમપેજમાં SwiftChat ઉમેરો. તે તમારા ઉપકરણ પર જગ્યા લેશે નહીં.,तुमच्या होमपेजवर SwiftChat जोडा. हे तुमच्या डिव्हाइसवर जास्त जागा घेणार नाही.,మీ హోమ్‌పేజీకి SwiftChatని జోడించండి. ఇది మీ డివైస్ లో స్పేస్ ని ఆక్రమించదు.,
actionBannerButtonText,Install,इंस्टॉल करें,ઈન્સ્ટોલ કરો,इन्स्टॉल करा.,ఇన్‌స్టాల్ చేయండి,
beginConversationHelperText,Please send “Hi” to start the conversation.,"बातचीत शुरू करने के लिए कृपया ""Hi"" भेजें।","વાર્તાલાપ શરૂ કરવા માટે કૃપા કરીને ""Hi"" મોકલો.","संवाद सुरु करण्यासाठी कृपया ""नमस्कार"" असे लिहून पाठवा.","సంభాషణను ప్రారంభించడానికి దయచేసి ""Hi"" అని పంపండి.",
helpMenu,Help,सहायता,મદદ,मदत,సహాయం,
helpMenuTitle,Help,सहायता,મદદ,मदत,సహాయం,
helpMenuHelperText,Support Number,सपोर्ट नंबर,સ્પોર્ટ નંબર,सपोर्ट नंबर,సపోర్ట్ నంబర్,
buildVersion,Build version,Build version,Build વર્ઝન,Build version,Build version,
helpMenuHelpNumber,011-40747485,011-40747485,011-40747485,011-40747485,011-40747485,
helpMenuButtonText,Call,कॉल करें,કૉલ કરો,कॉल करा.,కాల్ చేయండి,
contactMenu,Contact us,संपर्क करें,અમારો સંપર્ક કરો,संपर्क करा.,మమ్మల్ని సంప్రదించండి,
contactTitle,Contact SwiftChat,SwiftChat से संपर्क करें,SwiftChat નો સંપર્ક કરો,SwiftChat शी संपर्क साधा.,SwiftChatని సంప్రదించండి,
call,CALL US,हमें कॉल करें,અમને કોલ કરો,आम्हाला कॉल करा.,మాకు కాల్ చేయండి,
email,EMAIL US,हमें email करें,અમને ઈ-મેઈલ કરો,आम्हाला email करा.,మాకు Email చేయండి,
textSizeMenu,Text Size,टेक्स्ट साइज़,ટેક્સ્ટ સાઇઝ,टेक्स्ट साइज,టెక్స్ట్ సైజు,
textSizeMenuTitle,Display & Text Size,प्रदर्शन और टेक्स्ट साइज़,ડિસ્પ્લે અને ટેક્સ્ટ સાઇઝ,प्रदर्शन आणि टेक्स्ट साइज,ప్రదర్శన & టెక్స్ట్ సైజు,
textSizeMenuBoldOptionText,Bold Text,बोल्ड टेक्स्ट,બોલ્ડ ટેક્સ્ટ,ठळक टेक्स्ट,బోల్డ్ టెక్స్ట్,
textSizeMenuLargeOptionText,Larger Text,बड़ा टेक्स्ट,મોટા ટેક્સ્ટ,मोठे टेक्स्ट,పెద్ద టెక్స్ట్,
textSizeMenuConfirmButtonText,Apply,अप्लाई करें,અપ્લાઈ કરો,लागू करा.,దరఖాస్తు చేసుకోండి,
textSizeMenuDeclineButtonText,Cancel,रद्द करें,રદ કરો,रद्द करा.,రద్దు చేయండి,
logOutMenu,Log out,Log out,Log Out,Log Out,Log Out,
clearLabel,Clear,चयन साफ़ करें,પસંદગીઓ ક્લિયર કરો,क्लिअर करा.,స్పష్టంగా చెప్పండి,
orderDetailsText,Order details,ऑर्डर विवरण,ઓર્ડરની વિગતો,ऑर्डरचा तपशील,ఆర్డర్ వివరాలు,
addMoreItemsText,Add More items,और आइटम ऐड करें,વધારે વસ્તુઓ ઉમેરો,अधिक सामग्री टाका.,మరిన్ని అంశాలను జోడించండి,
